City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
289,Harrisburg,US,40.2737,-76.8844,42.8,26,1,6.91,clear sky
290,Airai,TL,-8.9266,125.4092,58.64,100,34,0.87,scattered clouds
291,Naze,JP,28.3667,129.4833,62.96,93,67,7.78,broken clouds
292,Takoradi,GH,4.8845,-1.7554,80.87,86,31,7.94,scattered clouds
293,Hamilton,US,39.1834,-84.5333,50.0,22,1,8.05,clear sky
294,Vardo,NO,70.3705,31.1107,24.8,68,75,10.36,light snow
295,Narsaq,GL,60.9167,-46.05,30.2,86,75,6.91,light snow
296,Sao Filipe,CV,14.8961,-24.4956,70.63,76,3,12.86,clear sky
297,Cidreira,BR,-30.1811,-50.2056,74.5,68,0,7.52,clear sky
298,Yermakovskoye,RU,53.2831,92.4003,20.57,96,92,3.2,overcast clouds
299,Klaksvik,FO,62.2266,-6.589,41.0,100,75,2.3,fog
300,Przasnysz,PL,53.0191,20.8803,30.99,93,75,6.91,broken clouds
301,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,93.22,33,47,6.11,scattered clouds
302,Stokmarknes,NO,68.5646,14.9108,26.6,93,90,3.44,light snow
303,Bud,US,39.447,-86.1758,51.01,23,1,2.55,clear sky
304,Jauja,PE,-11.7758,-75.4966,60.46,54,67,7.31,broken clouds
305,Skegness,GB,53.1436,0.3363,44.6,65,75,4.61,broken clouds
306,Krasnoselkup,RU,65.7,82.4667,-16.29,89,76,4.68,broken clouds
307,Shar,KZ,49.5886,81.0453,16.23,92,79,11.03,broken clouds
308,Torbay,CA,47.6666,-52.7314,33.01,74,75,20.71,broken clouds
309,Souillac,MU,-20.5167,57.5167,77.0,88,40,5.75,light rain
310,Kruisfontein,ZA,-34.0033,24.7314,69.01,81,83,3.0,broken clouds
311,Bayir,TR,37.2687,28.2167,51.8,54,0,5.75,clear sky
312,Makakilo City,US,21.3469,-158.0858,80.6,50,40,10.36,scattered clouds
313,Pila,PL,53.1515,16.7378,30.0,95,84,4.0,broken clouds
314,Takaungu,KE,-3.6837,39.8566,77.92,82,6,7.81,clear sky
315,Rabat,MA,33.9911,-6.8401,61.0,82,75,5.75,broken clouds
316,Los Llanos De Aridane,ES,28.6585,-17.9182,66.2,72,20,19.57,few clouds
317,Port Blair,IN,11.6667,92.75,79.21,78,6,7.14,clear sky
318,Mae Sai,TH,20.4335,99.8762,59.0,94,83,2.3,broken clouds
319,Tembisa,ZA,-25.9964,28.2268,66.99,45,1,1.14,clear sky
320,Bhattiprolu,IN,16.1,80.7833,73.06,93,0,4.45,clear sky
